year,co2conc,ch4conc,n2oconc,totforc
2372,347.26827,1260.1518,339.36967,1.3131377
2373,347.07699,1260.2368,339.36583,1.3102018
2374,346.87749,1260.2477,339.36203,1.307086
2375,346.68435,1260.2253,339.35826,1.304044
2376,346.50464,1260.1984,339.35452,1.301205
2377,346.33875,1260.1906,339.35082,1.298592
2378,346.18441,1260.2279,339.34715,1.296188
2379,346.03416,1260.309,339.34352,1.2938774
2380,345.8796,1260.4149,339.33992,1.2915168
2381,345.71725,1260.5342,339.33635,1.2890446
2382,345.54729,1260.6618,339.33281,1.2864598
2383,345.37072,1260.7938,339.32931,1.2837749
2384,345.18286,1260.8784,339.32583,1.2808809
2385,344.98687,1260.8888,339.32239,1.277808
2386,344.79727,1260.866,339.31898,1.2748097
2387,344.62105,1260.8385,339.31561,1.2720147
2388,344.45856,1260.8303,339.31226,1.2694454
2389,344.3075,1260.8671,339.30894,1.2670845
2390,344.16044,1260.9477,339.30565,1.2648157
2391,344.00903,1261.0532,339.3024,1.262496
2392,343.84983,1261.172,339.29917,1.2600639
2393,343.68304,1261.2992,339.29597,1.2575188
2394,343.50965,1261.4307,339.2928,1.2548733
2395,343.32505,1261.5149,339.28966,1.252019
2396,343.13243,1261.5249,339.28655,1.2489867
2397,342.9462,1261.5016,339.28347,1.2460298
2398,342.77331,1261.4738,339.28041,1.2432766
2399,342.61407,1261.4651,339.27738,1.2407488
2400,342.46614,1261.5014,339.27438,1.2384286
2401,342.32213,1261.5816,339.27141,1.2361994
2402,342.17373,1261.6867,339.26847,1.2339185
2403,342.01754,1261.805,339.26555,1.2315244
2404,341.85376,1261.9318,339.26265,1.2290168
2405,341.68342,1262.0629,339.25979,1.2264086
2406,341.50194,1262.1467,339.25695,1.223592
2407,341.31253,1262.1563,339.25413,1.2205983
2408,341.12955,1262.1326,339.25135,1.2176807
2409,340.95985,1262.1043,339.24858,1.2149672
2410,340.80371,1262.0953,339.24584,1.212479
2411,340.65878,1262.1311,339.24313,1.2101974
2412,340.51768,1262.2109,339.24044,1.208006
2413,340.37215,1262.3155,339.23778,1.2057617
2414,340.21884,1262.4335,339.23514,1.2034037
2415,340.05795,1262.5599,339.23252,1.2009318
2416,339.89052,1262.6906,339.22993,1.198359
2417,339.71203,1262.7739,339.22736,1.1955781
2418,339.52571,1262.7831,339.22482,1.192621
2419,339.34583,1262.7591,339.2223,1.1897409
2420,339.17919,1262.7304,339.2198,1.1870653
2421,339.02602,1262.7209,339.21732,1.1846147
2422,338.88397,1262.7564,339.21487,1.18237
2423,338.74565,1262.8358,339.21244,1.1802144
2424,338.60288,1262.94,339.21003,1.1780051
2425,338.45232,1263.0575,339.20764,1.1756813
2426,338.2942,1263.1836,339.20528,1.1732433
